id,state,lat,lon,elev,shef_id,site_name,
908,WA,47.78,-121.7,3500,APSW1,Alpine Meadows,x
990,WA,48.88,-121.26,3630,BVPW1,Beaver Pass,x
352,WA,47.35,-120.68,4240,BPAW1,Blewett Pass,x
1080,WA,48.93,-121.2,5830,BRTW1,Brown Top,x
1107,WA,47.71,-123.46,4870,BKHW1,Buckinghorse,x
375,WA,46.81,-121.33,4610,BMPW1,Bumping Ridge,x
376,WA,48.69,-117.18,5000,BGMW1,Bunchgrass Mdw,x
942,WA,47.04,-121.94,4170,BUSW1,Burnt Mountain,x
1109,WA,45.9,-122.22,2500,CLJW1,Calamity,x
1085,WA,46.87,-121.53,5240,CAYW1,Cayuse Pass,x
418,WA,47.02,-121.46,5800,COPW1,Corral Pass,x
420,WA,47.28,-121.67,3200,CUMW1,Cougar Mountain,x
943,WA,47.87,-123.08,4010,DGSW1,Dungeness,x
998,WA,48.86,-121.44,5270,EPSW1,Easy Pass,x
910,WA,48.69,-121.91,3040,ELSW1,Elbow Lake,x
478,WA,47.54,-121.09,3430,FISW1,Fish Lake,x
1159,WA,48.95,-118.99,5360,GAXW1,Gold Axe Camp,x
502,WA,46.55,-121.17,5920,GRLW1,Green Lake,x
507,WA,47.28,-120.49,5390,GRCW1,Grouse Camp,x
515,WA,48.72,-120.66,6490,HRPW1,Harts Pass,x
928,WA,47.07,-121.59,2250,HKSW1,Huckleberry Creek,x
1129,WA,45.99,-120.81,5360,IRKW1,Indian Rock,x
553,WA,46.15,-122.15,3440,MRBW1,June Lake,x
591,WA,46.27,-121.96,3930,LPSW1,Lone Pine,x
599,WA,46.36,-121.08,5120,LOHW1,Lost Horse,x
606,WA,48.2,-120.92,5980,LYLW1,Lyman Lake,x
1069,WA,47.2,-121.78,3900,LAKW1,Lynn Lake,x
999,WA,48.76,-121.7,3520,MRTW1,Marten Ridge,x
897,WA,47.28,-121.47,3230,MPSW1,Meadows Pass,x
1011,WA,48.82,-121.93,4970,MNOW1,MF Nooksack,x
630,WA,48.2,-120.96,6110,MIRW1,Miners Ridge,x
642,WA,46.91,-121.48,5410,MRSW1,Morse Lake,x
644,WA,48.36,-119.08,5010,MMSW1,Moses Mtn,x
648,WA,47.76,-123.03,3960,MTCW1,Mount Crag,x
898,WA,47.36,-121.57,2920,MGSW1,Mount Gardner,x
941,WA,46.93,-121.95,3160,MHSW1,Mowich,x
1259,WA,48.59,-119.87,4500,,Muckamuck,x
672,WA,47.37,-121.44,4030,OMWW1,Olallie Meadows,x
679,WA,46.78,-121.75,5130,AFSW1,Paradise,x
681,WA,48.44,-120.92,4600,PCRW1,Park Creek Ridge,x
1104,WA,46.1,-121.96,2140,PPCW1,Pepper Creek,x
692,WA,46.62,-121.39,5800,PGPW1,Pigtail Peak,x
699,WA,47.99,-120.57,3590,PPRW1,Pope Ridge,x
702,WA,46.35,-121.51,4510,PTHW1,Potato Hill,x
707,WA,47.88,-117.09,4700,QUPW1,Quartz Peak,x
711,WA,48.52,-120.74,4890,RAIW1,Rainy Pass,x
911,WA,47.3,-121.6,3810,RXSW1,Rex River,x
728,WA,48.66,-119.84,4460,SAMW1,Salmon Meadows,x
734,WA,47.38,-121.06,4340,SASW1,Sasse Ridge,x
1231,WA,45.99,-120.68,3960,SPSW1,Satus Pass,x
1068,WA,47.16,-121.42,4640,SAWW1,Sawmill Ridge,x
1043,WA,48.86,-118.4,4680,SENW1,Sentinel Butte,x
748,WA,46.19,-122.25,3990,SHPW1,Sheep Canyon,x
912,WA,47.68,-121.61,3310,KUSW1,Skookum Creek,x
985,WA,46.24,-117.39,4000,SGUW1,Sourdough Gulch,x
776,WA,46.18,-121.93,3400,SPMW1,Spencer Meadow,x
777,WA,46.26,-122.18,3520,SPTW1,Spirit Lake,x
984,WA,46.18,-117.54,5700,SPGW1,Spruce Springs,x
788,WA,47.27,-121.34,3850,SMPW1,Stampede Pass,x
791,WA,47.75,-121.09,3950,SVNW1,Stevens Pass,x
804,WA,46.09,-121.76,4290,SPLW1,Surprise Lakes,x
975,WA,48.57,-120.78,3930,SWSW1,Swamp Creek,x
1012,WA,46.16,-122.18,4440,SWCW1,Swift Creek,x
817,WA,48.53,-120.99,4320,THBW1,Thunder Basin,x
899,WA,47.33,-121.47,2990,TKSW1,Tinkham Creek,x
824,WA,46.12,-117.85,5530,TOHW1,Touchet,x
1171,WA,48.07,-120.85,2930,TRIW1,Trinity,x
832,WA,47.23,-120.29,5480,TRGW1,Trough,x
841,WA,47.29,-120.37,4330,UPWW1,Upper Wheeler,x
974,WA,47.94,-123.43,5010,WHSW1,Waterhole,x
909,WA,48.87,-121.79,4030,WCSW1,Wells Creek,x
863,WA,46.64,-121.38,4440,WHPW1,White Pass E.S.,x